"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"241100 Rodolfo Fernandes";-;8;5;5;-;-;18
"241110 Ruy Barbosa";1;5;4;3;-;-;13
"241120 Santa Cruz";23;29;35;7;51;1;146
"240933 Santa Maria";-;-;-;-;-;-;-
"241140 Santana do Matos";4;10;7;4;-;-;25
"241142 Santana do Seridó";-;8;2;3;-;-;13
"241150 Santo Antônio";11;11;12;6;-;-;40
"241160 São Bento do Norte";-;-;-;-;-;-;-
"241170 São Bento do Trairí";-;8;2;-;-;-;10
"241180 São Fernando";-;-;-;-;-;-;-
"241190 São Francisco do Oeste";-;-;-;-;-;-;-
"241200 São Gonçalo do Amarante";14;16;14;20;-;-;64
"241210 São João do Sabugi";-;6;-;2;-;-;8
"241220 São José de Mipibu";5;-;48;5;-;-;58
"241230 São José do Campestre";-;13;2;-;1;-;16
"241240 São José do Seridó";-;9;-;3;-;-;12
"241250 São Miguel";13;20;32;20;6;-;91
"241255 São Miguel do Gostoso";-;4;3;-;-;-;7
"241260 São Paulo do Potengi";12;10;7;7;-;-;36
"241270 São Pedro";-;2;2;-;-;-;4
"241280 São Rafael";-;10;5;4;-;-;19
"241290 São Tomé";2;8;2;2;-;-;14
"241300 São Vicente";-;11;-;3;-;-;14
"241310 Senador Elói de Souza";-;6;1;-;-;-;7
"241320 Senador Georgino Avelino";-;-;-;-;-;-;-
"241030 Serra Caiada";-;12;5;5;-;-;22
"241330 Serra de São Bento";-;10;2;-;-;-;12
"241335 Serra do Mel";-;10;3;4;-;-;17
"241340 Serra Negra do Norte";-;16;2;4;-;-;22
"241350 Serrinha";-;-;-;-;-;-;-
"241355 Serrinha dos Pintos";-;6;3;4;-;-;13
"241360 Severiano Melo";-;11;-;4;-;-;15
"241370 Sítio Novo";-;4;4;4;-;-;12
"241380 Taboleiro Grande";-;8;4;2;-;-;14
"241390 Taipu";-;3;3;-;-;-;6
"241400 Tangará";-;8;4;4;1;-;17
"241410 Tenente Ananias";7;13;3;4;-;-;27
"241415 Tenente Laurentino Cruz";-;3;-;-;-;-;3
"241105 Tibau";-;10;-;4;-;-;14
"241420 Tibau do Sul";3;6;3;3;-;-;15
"241430 Timbaúba dos Batistas";-;-;-;-;-;-;-
"241440 Touros";8;10;6;6;-;-;30
"241445 Triunfo Potiguar";-;8;2;2;-;-;12
"241450 Umarizal";-;-;-;-;-;-;-
"241460 Upanema";-;7;3;3;-;-;13
"241470 Várzea";-;-;-;-;-;-;-
"241475 Venha-Ver";-;6;-;2;-;-;8
"241480 Vera Cruz";-;6;3;3;-;-;12
"241490 Viçosa";3;6;3;3;-;-;15
"241500 Vila Flor";6;4;6;5;-;-;21
"240000 Município ignorado - RN";-;-;-;-;-;-;-
"250010 Água Branca";-;10;4;6;-;-;20
"250020 Aguiar";-;9;-;3;-;-;12
"250030 Alagoa Grande";2;18;16;10;-;-;46
"250040 Alagoa Nova";1;17;1;9;-;-;28
"250050 Alagoinha";-;-;-;-;-;-;-
"250053 Alcantil";-;-;-;-;-;-;-
"250057 Algodão de Jandaíra";-;-;-;-;-;-;-
"250060 Alhandra";8;-;7;-;-;-;15
"250073 Amparo";-;-;-;-;-;-;-
"250077 Aparecida";-;-;-;-;-;-;-
"250080 Araçagi";-;-;-;-;-;-;-
"250090 Arara";-;12;2;3;-;-;17
"250100 Araruna";-;-;-;-;-;-;-
"250110 Areia";5;20;4;7;-;-;36
"250115 Areia de Baraúnas";-;-;-;-;-;-;-
"250120 Areial";-;-;-;-;-;-;-
"250130 Aroeiras";-;22;6;10;2;-;40
"250135 Assunção";-;-;-;-;-;-;-
"250140 Baía da Traição";-;-;-;-;-;-;-
"250150 Bananeiras";5;13;7;12;-;-;37
"250153 Baraúna";-;-;-;-;-;-;-
"250160 Barra de Santa Rosa";-;-;-;-;-;-;-
"250157 Barra de Santana";-;-;-;-;-;-;-
"250170 Barra de São Miguel";-;-;-;-;-;-;-
"250180 Bayeux";5;22;12;9;-;-;48
"250190 Belém";6;10;5;4;-;-;25
"250200 Belém do Brejo do Cruz";1;15;7;5;-;-;28
"250205 Bernardino Batista";-;-;-;-;-;-;-
"250210 Boa Ventura";-;-;-;-;-;-;-
"250215 Boa Vista";-;-;-;-;-;-;-
"250220 Bom Jesus";-;-;-;-;-;-;-
"250230 Bom Sucesso";2;8;2;4;-;-;16
"250240 Bonito de Santa Fé";2;8;4;4;-;1;19
"250250 Boqueirão";-;14;10;6;13;-;43
"250270 Borborema";-;-;-;-;-;-;-
"250280 Brejo do Cruz";2;10;8;5;-;-;25
"250290 Brejo dos Santos";2;11;2;3;-;-;18
"250300 Caaporã";5;14;5;13;1;-;38
"250310 Cabaceiras";-;-;-;-;-;-;-
"250320 Cabedelo";9;8;11;7;-;-;35
"250330 Cachoeira dos Índios";-;-;-;-;-;-;-
"250340 Cacimba de Areia";-;3;2;-;-;-;5
"250350 Cacimba de Dentro";1;10;6;5;-;-;22
"250355 Cacimbas";-;-;-;-;-;-;-
"250360 Caiçara";-;-;-;-;-;-;-
"250370 Cajazeiras";55;65;18;19;-;2;159
"250375 Cajazeirinhas";-;-;-;-;-;-;-
"250380 Caldas Brandão";-;-;-;-;-;-;-
"250390 Camalaú";-;-;-;-;-;-;-
"250400 Campina Grande";346;317;147;190;177;19;1196
"250403 Capim";-;-;-;-;-;-;-
"250407 Caraúbas";-;-;-;-;-;-;-
"250410 Carrapateira";-;-;-;-;-;-;-
"250415 Casserengue";-;-;-;-;-;-;-
"250420 Catingueira";-;-;-;-;-;-;-
"250430 Catolé do Rocha";10;16;15;21;2;-;64
"250435 Caturité";-;-;-;-;-;-;-
"250440 Conceição";12;15;16;13;2;-;58
"250450 Condado";-;-;-;-;-;-;-
"250460 Conde";-;-;-;-;-;-;-
"250470 Congo";-;-;-;-;-;-;-
"250480 Coremas";4;20;5;10;-;-;39
"250485 Coxixola";-;-;-;-;-;-;-
"250490 Cruz do Espírito Santo";-;-;-;-;-;-;-
"250500 Cubati";-;9;-;7;-;-;16
"250510 Cuité";17;21;10;15;4;-;67
"250523 Cuité de Mamanguape";-;-;-;-;-;-;-
"250520 Cuitegi";-;-;-;-;-;-;-
"250527 Curral de Cima";-;-;-;-;-;-;-
"250530 Curral Velho";-;-;-;-;-;-;-
"250535 Damião";-;-;-;-;-;-;-
"250540 Desterro";-;-;-;-;-;-;-
"250560 Diamante";-;-;-;-;-;-;-
"250570 Dona Inês";2;6;4;-;-;-;12
"250580 Duas Estradas";-;-;-;-;-;-;-
"250590 Emas";-;-;-;-;-;-;-
"250600 Esperança";6;10;5;5;-;-;26
"250610 Fagundes";-;-;-;-;-;-;-
"250620 Frei Martinho";2;13;-;3;-;-;18
"250625 Gado Bravo";-;-;-;-;-;-;-
"250630 Guarabira";45;26;24;14;-;1;110
"250640 Gurinhém";-;-;-;-;-;-;-
"250650 Gurjão";-;4;-;-;-;-;4
"250660 Ibiara";-;12;-;-;-;-;12
"250260 Igaracy";-;-;-;-;-;-;-
"250670 Imaculada";-;-;-;-;-;-;-
"250680 Ingá";-;10;-;-;-;-;10
"250690 Itabaiana";8;8;19;6;-;-;41
"250700 Itaporanga";6;18;12;12;-;-;48
"250710 Itapororoca";5;4;5;4;-;-;18
"250720 Itatuba";-;-;-;-;-;-;-
"250730 Jacaraú";-;8;-;-;-;-;8
"250740 Jericó";2;3;3;4;-;-;12
"250750 João Pessoa";497;670;246;222;175;39;1849
"251365 Joca Claudino";-;-;-;-;-;-;-
"250760 Juarez Távora";-;-;-;-;-;-;-
"250770 Juazeirinho";-;11;2;4;1;-;18
"250780 Junco do Seridó";-;-;-;-;-;-;-
"250790 Juripiranga";-;12;-;-;-;-;12
"250800 Juru";-;8;2;1;-;-;11
"250810 Lagoa";-;-;-;-;-;-;-
"250820 Lagoa de Dentro";-;10;4;5;-;-;19
"250830 Lagoa Seca";8;6;5;5;4;-;28
"250840 Lastro";2;4;2;2;-;-;10
"250850 Livramento";-;-;-;-;-;-;-
"250855 Logradouro";-;-;-;-;-;-;-
"250860 Lucena";-;1;-;1;-;-;2
"250870 Mãe d'Água";-;-;-;-;-;-;-
"250880 Malta";-;-;-;-;-;-;-
"250890 Mamanguape";15;34;21;24;10;-;104
"250900 Manaíra";-;-;-;-;-;-;-
"250905 Marcação";-;-;-;-;-;-;-
"250910 Mari";-;6;-;-;-;-;6
"250915 Marizópolis";-;-;-;-;-;-;-
"250920 Massaranduba";6;27;10;8;-;-;51
"250930 Mataraca";-;-;-;-;-;-;-
"250933 Matinhas";-;-;-;-;-;-;-
"250937 Mato Grosso";-;-;-;-;-;-;-
"250939 Maturéia";-;-;-;-;-;-;-
"250940 Mogeiro";-;-;-;-;-;-;-
"250950 Montadas";-;-;-;-;-;-;-
"250960 Monte Horebe";-;-;-;-;-;-;-
"250970 Monteiro";18;17;5;15;8;-;63
"250980 Mulungu";-;-;-;-;-;-;-
"250990 Natuba";-;10;5;4;-;-;19
"251000 Nazarezinho";-;-;-;-;-;-;-
"251010 Nova Floresta";-;19;-;-;-;-;19
"251020 Nova Olinda";-;11;4;7;-;-;22
"251030 Nova Palmeira";-;-;-;-;-;-;-
"251040 Olho d'Água";-;1;-;-;-;-;1
"251050 Olivedos";-;-;-;-;-;-;-
"251060 Ouro Velho";-;-;-;-;-;-;-
"251065 Parari";-;-;-;-;-;-;-
"251070 Passagem";-;-;-;-;-;-;-
"251080 Patos";76;81;56;61;-;-;274
"251090 Paulista";3;14;4;5;-;-;26
"251100 Pedra Branca";-;-;-;-;-;-;-
"251110 Pedra Lavrada";4;10;-;6;-;-;20
"251120 Pedras de Fogo";9;17;9;8;4;-;47
"251272 Pedro Régis";-;-;-;-;-;-;-
"251130 Piancó";12;22;5;15;24;-;78
"251140 Picuí";24;47;12;17;-;-;100
"251150 Pilar";-;8;4;5;1;-;18
"251160 Pilões";-;-;-;-;-;-;-
"251170 Pilõezinhos";-;-;-;-;-;-;-
"251180 Pirpirituba";-;-;-;-;-;-;-
"251190 Pitimbu";-;-;-;-;-;-;-
"251200 Pocinhos";-;34;14;9;-;-;57
"251203 Poço Dantas";-;-;-;-;-;-;-
"251207 Poço de José de Moura";-;-;-;-;-;-;-
"251210 Pombal";12;26;25;13;18;-;94
"251220 Prata";-;-;-;-;-;-;-
"251230 Princesa Isabel";7;16;14;6;8;-;51
"251240 Puxinanã";-;-;-;-;-;-;-
"251250 Queimadas";10;10;8;8;-;-;36
"251260 Quixabá";-;-;-;-;-;-;-
"251270 Remígio";-;-;-;-;-;-;-
"251274 Riachão";-;-;-;-;-;-;-
"251275 Riachão do Bacamarte";-;-;-;-;-;-;-
"251276 Riachão do Poço";-;-;-;-;-;-;-
"251278 Riacho de Santo Antônio";-;-;-;-;-;-;-
"251280 Riacho dos Cavalos";-;5;-;3;-;-;8
"251290 Rio Tinto";-;-;-;-;-;-;-
"251300 Salgadinho";-;-;-;-;-;-;-
"251310 Salgado de São Félix";-;-;-;-;-;-;-
"251315 Santa Cecília";-;-;-;-;-;-;-
"251320 Santa Cruz";-;8;-;5;-;-;13
"251330 Santa Helena";-;-;-;-;-;-;-
"251335 Santa Inês";-;10;-;-;-;-;10
"251340 Santa Luzia";13;13;5;5;-;-;36
"251370 Santa Rita";32;66;34;17;-;-;149
"251380 Santa Teresinha";-;-;-;-;-;-;-
"251350 Santana de Mangueira";-;-;-;-;-;-;-
"251360 Santana dos Garrotes";-;-;-;-;-;-;-
"251385 Santo André";-;6;-;-;-;-;6
"251392 São Bentinho";-;-;-;-;-;-;-
"251390 São Bento";5;15;8;6;13;-;47
"251396 São Domingos";-;-;-;-;-;-;-
"251394 São Domingos do Cariri";-;-;-;-;-;-;-
"251398 São Francisco";-;-;-;-;-;-;-
"251400 São João do Cariri";-;-;-;-;-;-;-
"250070 São João do Rio do Peixe";-;17;7;4;-;-;28
"251410 São João do Tigre";-;-;-;-;-;-;-
"251420 São José da Lagoa Tapada";-;3;-;-;-;-;3
"251430 São José de Caiana";-;8;3;4;-;-;15
"251440 São José de Espinharas";-;-;-;-;-;-;-
"251450 São José de Piranhas";-;14;3;-;-;-;17
"251455 São José de Princesa";-;-;-;-;-;-;-
"251460 São José do Bonfim";-;-;-;-;-;-;-
"251465 São José do Brejo do Cruz";-;-;-;-;-;-;-
"251470 São José do Sabugi";-;-;4;-;-;-;4
"251480 São José dos Cordeiros";-;-;-;-;-;-;-
"251445 São José dos Ramos";-;-;-;-;-;-;-
"251490 São Mamede";6;10;3;7;-;-;26
"251500 São Miguel de Taipu";-;-;-;-;-;-;-
"251510 São Sebastião de Lagoa de Roça";-;-;-;-;-;-;-
"251520 São Sebastião do Umbuzeiro";-;-;-;-;-;-;-
"251540 São Vicente do Seridó";-;20;4;-;-;-;24
"251530 Sapé";14;47;6;10;1;-;78
"251550 Serra Branca";10;21;10;15;2;-;58
"251560 Serra da Raiz";-;-;-;-;-;-;-
"251570 Serra Grande";-;12;-;-;-;-;12
"251580 Serra Redonda";-;-;-;-;-;-;-
"251590 Serraria";-;7;-;-;-;-;7
"251593 Sertãozinho";-;-;-;-;-;-;-
"251597 Sobrado";-;-;-;-;-;-;-
"251600 Solânea";8;12;7;7;-;-;34
"251610 Soledade";1;14;4;2;1;-;22
"251615 Sossêgo";-;-;-;-;-;-;-
"251620 Sousa";18;38;35;33;-;-;124
"251630 Sumé";9;16;8;6;2;-;41
"251640 Tacima";-;-;-;-;-;-;-
"251650 Taperoá";12;27;6;7;-;-;52
"251660 Tavares";-;13;3;7;-;-;23
"251670 Teixeira";5;21;7;5;1;-;39
"251675 Tenório";-;-;-;-;-;-;-
"251680 Triunfo";-;-;-;-;-;-;-
"251690 Uiraúna";6;26;7;8;-;-;47
"251700 Umbuzeiro";-;-;-;-;-;-;-
"251710 Várzea";-;-;-;-;-;-;-
"251720 Vieirópolis";-;-;-;-;-;-;-
"250550 Vista Serrana";-;-;-;-;-;-;-
"251740 Zabelê";-;-;-;-;-;-;-
"250000 Município ignorado - PB";-;-;-;-;-;-;-
"260005 Abreu e Lima";14;10;16;4;8;-;52
"260010 Afogados da Ingazeira";33;47;39;28;8;-;155
"260020 Afrânio";4;18;14;9;-;-;45
"260030 Agrestina";9;37;7;2;21;-;76
"260040 Água Preta";10;20;8;12;-;-;50
"260050 Águas Belas";-;15;7;4;4;-;30
"260060 Alagoinha";2;5;1;3;-;-;11
"260070 Aliança";4;10;8;4;-;-;26
"260080 Altinho";3;6;6;3;-;-;18
"260090 Amaraji";5;13;8;5;-;-;31
"260100 Angelim";-;8;2;2;-;-;12
"260105 Araçoiaba";-;2;-;-;1;-;3
"260110 Araripina";27;78;38;29;6;-;178
"260120 Arcoverde";10;46;22;19;3;-;100
"260130 Barra de Guabiraba";-;4;3;4;-;-;11
"260140 Barreiros";40;6;10;8;48;17;129
"260150 Belém de Maria";-;6;3;-;-;-;9
"260160 Belém do São Francisco";-;16;-;8;-;-;24
"260170 Belo Jardim";9;21;19;10;-;-;59
"260180 Betânia";2;3;2;3;-;-;10
"260190 Bezerros";45;42;8;1;11;-;107
"260200 Bodocó";-;6;5;5;-;-;16
"260210 Bom Conselho";8;22;8;4;4;-;46
"260220 Bom Jardim";-;19;8;6;-;-;33
"260230 Bonito";10;18;10;14;-;-;52
"260240 Brejão";2;7;4;1;-;-;14
"260250 Brejinho";-;2;1;4;-;-;7
"260260 Brejo da Madre de Deus";5;14;5;6;1;-;31
"260270 Buenos Aires";3;8;6;-;-;-;17
"260280 Buíque";-;43;17;16;-;-;76
"260290 Cabo de Santo Agostinho";102;88;19;28;-;-;237
"260300 Cabrobó";7;32;19;16;-;-;74
"260310 Cachoeirinha";4;6;2;4;-;-;16
"260320 Caetés";4;10;2;4;-;-;20
"260330 Calçado";-;5;3;3;-;-;11
"260340 Calumbi";-;8;4;5;-;-;17
"260345 Camaragibe";40;1;21;2;-;-;64
"260350 Camocim de São Félix";-;8;4;2;-;-;14
"260360 Camutanga";-;3;2;2;-;-;7
"260370 Canhotinho";6;14;8;4;-;-;32
"260380 Capoeiras";2;14;5;4;-;-;25
"260390 Carnaíba";3;7;2;3;-;-;15
"260392 Carnaubeira da Penha";1;4;4;2;-;-;11
"260400 Carpina";21;61;18;14;-;-;114
"260410 Caruaru";188;277;108;55;15;31;674
"260415 Casinhas";-;9;9;10;-;-;28
"260420 Catende";-;16;6;5;-;-;27
"260430 Cedro";-;8;4;6;-;-;18
"260440 Chã de Alegria";-;9;4;6;-;-;19
"260450 Chã Grande";8;12;6;12;-;-;38
"260460 Condado";-;12;4;5;-;-;21
"260470 Correntes";3;12;3;5;-;-;23
"260480 Cortês";18;9;6;6;-;-;39
"260490 Cumaru";4;6;6;3;-;-;19
"260500 Cupira";4;6;6;4;-;-;20
"260510 Custódia";6;15;10;7;-;-;38
"260515 Dormentes";-;20;4;3;-;-;27
"260520 Escada";12;14;15;10;-;-;51
"260530 Exu";-;19;6;8;-;-;33
"260540 Feira Nova";3;5;5;4;-;-;17
"260545 Fernando de Noronha";-;7;-;2;1;-;10
"260550 Ferreiros";-;5;-;2;-;-;7
"260560 Flores";4;8;5;5;-;-;22
"260570 Floresta";8;28;17;8;-;-;61
"260580 Frei Miguelinho";-;5;3;3;-;-;11
"260590 Gameleira";-;10;8;5;-;-;23
"260600 Garanhuns";85;46;56;21;7;24;239
"260610 Glória do Goitá";7;8;4;5;-;-;24
"260620 Goiana";19;26;29;21;-;3;98
"260630 Granito";-;10;3;6;-;-;19
"260640 Gravatá";11;32;7;6;-;-;56
"260650 Iati";3;11;6;2;-;-;22
"260660 Ibimirim";-;13;3;3;-;-;19
"260670 Ibirajuba";-;8;3;5;-;-;16
"260680 Igarassu";3;13;-;-;82;-;98
"260690 Iguaracy";-;9;3;4;-;-;16
"260760 Ilha de Itamaracá";-;7;4;3;-;-;14
"260700 Inajá";-;5;6;2;-;-;13
"260710 Ingazeira";-;2;1;1;-;-;4
"260720 Ipojuca";2;9;18;3;-;-;32
"260730 Ipubi";-;16;5;8;9;-;38
"260740 Itacuruba";-;8;4;2;-;-;14
"260750 Itaíba";-;18;2;1;-;-;21
"260765 Itambé";10;15;8;9;-;-;42
"260770 Itapetim";7;9;4;5;-;-;25
"260775 Itapissuma";-;1;-;-;-;-;1
"260780 Itaquitinga";-;6;4;4;-;-;14
"260790 Jaboatão dos Guararapes";187;208;79;37;40;-;551
"260795 Jaqueira";10;10;7;5;-;-;32
"260800 Jataúba";-;6;4;3;-;-;13
"260805 Jatobá";4;9;4;6;-;-;23
"260810 João Alfredo";-;11;7;5;-;-;23
"260820 Joaquim Nabuco";-;8;4;2;-;-;14
"260825 Jucati";-;4;1;1;-;-;6
"260830 Jupi";-;6;2;1;-;-;9
"260840 Jurema";-;10;4;4;-;-;18
"260850 Lagoa de Itaenga";2;10;6;2;-;-;20
"260845 Lagoa do Carro";2;6;3;2;-;-;13
"260860 Lagoa do Ouro";8;9;4;4;1;-;26
"260870 Lagoa dos Gatos";4;6;4;3;-;-;17
"260875 Lagoa Grande";-;13;10;4;-;-;27
"260880 Lajedo";-;12;5;4;-;-;21
"260890 Limoeiro";16;26;16;13;28;-;99
"260900 Macaparana";6;31;6;9;-;-;52
"260910 Machados";3;3;2;1;-;-;9
"260915 Manari";-;5;8;3;-;-;16
"260920 Maraial";-;4;7;2;-;-;13
"260930 Mirandiba";1;16;7;10;-;-;34
"261430 Moreilândia";-;16;2;4;-;-;22
"260940 Moreno";61;6;-;-;-;-;67
"260950 Nazaré da Mata";1;10;19;10;-;-;40
"260960 Olinda";18;88;28;8;104;3;249
"260970 Orobó";4;7;4;5;-;-;20
"260980 Orocó";-;5;3;3;-;-;11
"260990 Ouricuri";31;24;17;13;7;-;92
"261000 Palmares";77;60;50;35;21;-;243
"261010 Palmeirina";-;6;2;2;-;-;10
"261020 Panelas";5;11;4;6;-;-;26
"261030 Paranatama";-;13;4;3;-;-;20
"261040 Parnamirim";4;15;3;7;-;-;29
"261050 Passira";3;10;10;2;-;-;25
"261060 Paudalho";24;38;13;23;-;-;98
"261070 Paulista";148;176;-;15;77;-;416
"261080 Pedra";3;9;6;5;-;-;23
"261090 Pesqueira";14;56;28;27;-;-;125
"261100 Petrolândia";32;30;30;19;8;-;119
"261110 Petrolina";124;138;61;84;16;10;433
"261120 Poção";-;4;8;2;-;-;14
"261130 Pombos";4;9;5;3;-;-;21
"261140 Primavera";-;-;4;-;-;-;4
"261150 Quipapá";6;24;12;8;-;-;50
"261153 Quixaba";-;-;-;-;-;-;-
"261160 Recife";2194;1976;517;787;383;175;6032
"261170 Riacho das Almas";10;12;5;3;-;-;30
"261180 Ribeirão";-;4;3;-;-;-;7
"261190 Rio Formoso";-;12;2;2;-;-;16
"261200 Sairé";4;8;3;5;-;-;20
"261210 Salgadinho";-;4;-;1;-;-;5
"261220 Salgueiro";33;56;25;53;-;-;167
"261230 Saloá";3;11;3;2;-;-;19
"261240 Sanharó";-;5;4;5;-;-;14
"261245 Santa Cruz";-;18;3;3;-;-;24
"261247 Santa Cruz da Baixa Verde";2;6;4;3;-;-;15
"261250 Santa Cruz do Capibaribe";6;16;12;20;16;-;70
"261255 Santa Filomena";-;10;2;5;-;-;17
"261260 Santa Maria da Boa Vista";11;14;10;8;-;-;43
"261270 Santa Maria do Cambucá";-;-;-;-;-;-;-
"261280 Santa Terezinha";-;7;3;3;-;-;13
"261290 São Benedito do Sul";-;11;7;10;-;-;28
"261300 São Bento do Una";10;15;8;13;-;-;46
"261310 São Caitano";7;23;14;9;-;-;53
"261320 São João";5;9;3;3;-;-;20
"261330 São Joaquim do Monte";13;10;6;5;-;-;34
"261340 São José da Coroa Grande";-;10;6;6;-;-;22
"261350 São José do Belmonte";4;17;4;12;-;-;37
"261360 São José do Egito";10;33;11;11;-;-;65
"261370 São Lourenço da Mata";11;40;33;13;-;-;97
"261380 São Vicente Ferrer";7;15;3;4;-;-;29
"261390 Serra Talhada";60;57;30;31;146;-;324
"261400 Serrita";2;18;6;6;-;-;32
"261410 Sertânia";6;37;10;11;-;-;64
"261420 Sirinhaém";6;8;6;6;-;-;26
"261440 Solidão";-;4;1;2;-;-;7
"261450 Surubim";18;91;18;8;40;-;175
"261460 Tabira";5;15;5;10;-;-;35
"261470 Tacaimbó";-;-;-;-;-;-;-
"261480 Tacaratu";-;9;4;4;-;-;17
"261485 Tamandaré";1;6;6;3;-;-;16
"261500 Taquaritinga do Norte";6;27;5;18;-;-;56
"261510 Terezinha";-;5;2;1;-;-;8
"261520 Terra Nova";-;5;3;3;-;-;11
"261530 Timbaúba";18;21;11;16;40;-;106
"261540 Toritama";5;12;5;6;-;-;28
"261550 Tracunhaém";-;4;4;3;-;-;11
"261560 Trindade";4;22;3;8;-;-;37
"261570 Triunfo";3;5;3;2;-;-;13
"261580 Tupanatinga";-;12;4;3;-;-;19
"261590 Tuparetama";9;19;3;8;-;-;39
"261600 Venturosa";4;10;6;4;-;-;24
"261610 Verdejante";-;3;4;8;-;-;15
"261618 Vertente do Lério";-;-;-;-;-;-;-
"261620 Vertentes";10;32;3;5;-;-;50
"261630 Vicência";-;18;4;8;-;-;30
"261640 Vitória de Santo Antão";32;65;41;43;70;-;251
"261650 Xexéu";-;7;4;3;-;-;14
"260000 Município ignorado - PE";-;-;-;-;-;-;-
"270010 Água Branca";-;13;4;8;-;-;25
"270020 Anadia";-;10;8;7;-;-;25
"270030 Arapiraca";246;256;84;71;104;-;761
"270040 Atalaia";5;20;5;14;-;-;44
"270050 Barra de Santo Antônio";-;-;-;-;-;-;-
"270060 Barra de São Miguel";-;-;-;-;-;-;-
"270070 Batalha";18;4;10;3;-;-;35
"270080 Belém";-;-;-;-;-;-;-
"270090 Belo Monte";-;-;-;-;-;-;-
"270100 Boca da Mata";-;7;4;3;-;-;14
"270110 Branquinha";-;-;-;-;-;-;-
"270120 Cacimbinhas";-;-;3;-;-;-;3
"270130 Cajueiro";-;12;5;9;-;-;26
"270135 Campestre";-;-;-;-;-;-;-
"270140 Campo Alegre";-;20;10;10;-;-;40
"270150 Campo Grande";-;-;-;-;-;-;-
"270160 Canapi";-;-;-;-;-;-;-
"270170 Capela";7;20;9;9;8;-;53
"270180 Carneiros";-;-;-;-;-;-;-
"270190 Chã Preta";-;-;-;-;-;-;-
"270200 Coité do Nóia";-;-;-;-;-;-;-
"270210 Colônia Leopoldina";-;18;8;7;-;-;33
"270220 Coqueiro Seco";-;-;-;-;-;-;-
"270230 Coruripe";131;93;20;30;-;-;274
"270235 Craíbas";-;5;3;-;-;-;8
"270240 Delmiro Gouveia";6;14;12;12;-;-;44
"270250 Dois Riachos";-;-;-;-;-;-;-
"270255 Estrela de Alagoas";-;-;-;-;-;-;-
"270260 Feira Grande";-;-;-;-;-;-;-
"270270 Feliz Deserto";-;-;-;-;-;-;-
"270280 Flexeiras";-;8;3;4;-;-;15
"270290 Girau do Ponciano";-;20;15;13;-;-;48
"270300 Ibateguara";-;-;3;-;-;-;3
"270310 Igaci";-;14;-;-;-;-;14
"270320 Igreja Nova";-;-;-;-;-;-;-
"270330 Inhapi";-;-;-;-;-;-;-
"270340 Jacaré dos Homens";-;-;-;-;-;-;-
"270350 Jacuípe";-;-;-;-;-;-;-
"270360 Japaratinga";-;-;-;-;-;-;-
"270370 Jaramataia";-;-;-;-;-;-;-
"270375 Jequiá da Praia";-;-;2;-;-;-;2
"270380 Joaquim Gomes";4;23;5;18;-;-;50
"270390 Jundiá";-;-;-;-;-;-;-
"270400 Junqueiro";5;10;10;10;-;-;35
"270410 Lagoa da Canoa";-;-;3;-;-;-;3
"270420 Limoeiro de Anadia";-;9;2;3;-;-;14
"270430 Maceió";525;510;305;214;518;8;2080
"270440 Major Isidoro";12;9;6;5;-;-;32
"270490 Mar Vermelho";-;-;-;-;-;-;-
"270450 Maragogi";-;-;2;-;-;-;2
"270460 Maravilha";-;-;-;-;-;-;-
"270470 Marechal Deodoro";-;-;-;-;-;-;-
"270480 Maribondo";-;-;-;-;-;-;-
"270500 Mata Grande";-;16;8;12;-;-;36
"270510 Matriz de Camaragibe";-;13;6;5;-;-;24
"270520 Messias";-;-;-;-;-;-;-
"270530 Minador do Negrão";-;-;-;-;-;-;-
"270540 Monteirópolis";-;-;-;-;-;-;-
"270550 Murici";15;26;5;7;-;-;53
"270560 Novo Lino";-;-;-;-;-;-;-
"270570 Olho d'Água das Flores";8;14;7;17;-;-;46
"270580 Olho d'Água do Casado";-;-;-;-;-;-;-
"270590 Olho d'Água Grande";-;-;-;-;-;-;-
"270600 Olivença";-;-;-;-;-;-;-
"270610 Ouro Branco";-;-;-;-;-;-;-
"270620 Palestina";-;-;-;-;-;-;-
"270630 Palmeira dos Índios";32;39;24;15;-;-;110
"270640 Pão de Açúcar";10;18;12;12;-;-;52
"270642 Pariconha";-;-;-;-;-;-;-
"270644 Paripueira";-;-;-;-;-;-;-
"270650 Passo de Camaragibe";-;-;-;-;-;-;-
"270660 Paulo Jacinto";-;9;3;4;-;-;16
"270670 Penedo";29;24;24;18;-;-;95
"270680 Piaçabuçu";-;11;7;-;-;-;18
"270690 Pilar";18;12;7;6;-;-;43
"270700 Pindoba";-;-;-;-;-;-;-
"270710 Piranhas";8;13;8;10;-;-;39
"270720 Poço das Trincheiras";-;-;-;-;-;-;-
"270730 Porto Calvo";6;17;10;8;-;-;41
"270740 Porto de Pedras";-;-;-;-;-;-;-
"270750 Porto Real do Colégio";-;-;-;-;-;-;-
"270760 Quebrangulo";6;10;5;7;-;-;28
"270770 Rio Largo";5;20;11;5;-;-;41
"270780 Roteiro";-;-;-;-;-;-;-
"270790 Santa Luzia do Norte";-;-;-;-;-;-;-
"270800 Santana do Ipanema";32;13;23;16;-;12;96
"270810 Santana do Mundaú";-;-;-;-;-;-;-
